ID,IDRS_Date,count,Date,gower_similarity,OEZK,river_type,Conductivity,Nitrate,Nitrogen,Oxygen,Temperature,pH,Ammonium,Phosphate,XUTM32N,YUTM32N,System,Status,CatCropWald,Cat_Urban,Cat_tot_Agriculture,Cat_Agri_without_grassl,PCA1,delta_PCA,delta_OEZK,delta_gower_similarity
110000030,110000030_2004,2,2004,0.538668997,0.302,Typ 16,54.1,0.005,0.127,9.7,13,7.2,0.024,0.002,32759627.11,5752109.757,Elbe,NWB,30.87664,6.08295,60.05662,54.27104,-0.935663779,-1.302032017,0.043,-0.046855933
106000674,106000674_2005,4,2005,0.51037088,0.406,Typ 09,760,0.02,2.5,10.2,12.4,7.7,0.1,0.06,32607569.32,5769326.117,NA,NWB,NA,18.30931,NA,NA,1.395891188,0.069007635,0.238,0.118850785
107001356,107001356_2005,4,2005,0.587558091,0.838,Typ 09.2,35.65,0.0062,0.187,9.8,24.9,8.14,0.005,0.014,32381205.03,5626796.576,NA,NWB,64.75084,12.00188,20.11525,1.99882,-1.025805358,-0.070724226,-0.023,-0.003746593
107001686,107001686_2005,3,2005,0.540943096,0.62,Typ 05,31.65,0.00212525,0.359,9.2,12.5,7.725,0.001,0.005,32369630.39,5658928.335,Rhein,NWB,49.6122,24.89393,19.17126,4.27255,-0.990819883,-0.028486832,-0.175,0.001848947
107003398,107003398_2005,2,2005,0.48667352,0.344,Typ 15,113,0.00075,0.25,10.4,24,7.7,0.002,0.0113675,NA,NA,NA,NA,NA,NA,NA,NA,-0.8883379,-1.79932282,0.14,0.035227527
104000087,104000087_2006,3,2006,0.561243522,0.067,Typ 09,96.8,0.0207345,0.361,8.4,24.3,8.3,0.007,0.02,NA,NA,NA,NA,NA,NA,NA,NA,-0.775400641,-1.65600985,0.062,0.109678359
106000046,106000046_2006,4,2006,0.567794847,0.892,Typ 15,21,0.006,0.16,3.5,18.2,7.2,0.021,0.009,32525039.1,5905507.106,NA,NWB,25.45871,11.10379,63.51176,44.44227,-0.751666292,0.048767165,0.014,0.050158106
106000540,106000540_2006,4,2006,0.48259294,0,Typ 14,42,0.31741,2.2,27.9,17.6,7,0.05,0.03,32346318.03,5825964.306,Küste,HMWB,18.49256,7.7071,65.00348,44.79299,-0.084219182,0.54398244,-0.045,-0.066480859
106001154,106001154_2006,2,2006,0.471030396,0.3,Typ 15,561,0.04,5.2,6.6,12.7,7.1,0.5,0.4,32618024.79,5812904.53,NA,HMWB,NA,NA,NA,NA,4.915512959,-0.250596888,0.014,-0.000913589
107002476,107002476_2006,3,2006,0.556220464,0.595,Typ 09.2,40,0.0066745,0.344845,8.4,18.3,7.5,0.014697486,0.01676,32410361.63,5703209.061,NA,HMWB,56.80851,13.32748,26.55043,11.66648,-0.826252423,0.110844372,-0.142,0.049997362
